,Time,Source,Destination,Protocol,Length
1,0,fe80::c60:a2ff:fec9:ef75,ff02::1,ICMPv6,142
2,1.967105,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::2005,TCP,75
3,1.99401,2404:6800:4002:81c::2005,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,86
4,3.262656,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::23e3:cb27,TCP,75
5,3.369002,64:ff9b::23e3:cb27,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,86
6,6.165803,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,120
7,6.172463,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116
8,6.172674,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116
9,6.249274,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
10,8.817801,192.168.150.136,192.168.150.153,DNS,76
11,8.817936,192.168.150.136,192.168.150.153,DNS,76
12,8.81803,192.168.150.136,192.168.150.153,DNS,76
13,8.818262,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TCP,1374
14,8.818262,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TCP,1374
15,8.818262,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,880
16,8.818326,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,262
17,8.8684,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
18,8.880431,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
19,8.882381,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
20,8.883687,192.168.150.153,192.168.150.136,DNS,187
21,8.883687,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
22,8.883687,192.168.150.153,192.168.150.136,DNS,175
23,8.884769,192.168.150.153,192.168.150.136,DNS,202
24,9.139798,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,406
25,9.139798,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,112
26,9.139908,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TCP,74
27,9.232129,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:815::200a,UDP,91
28,9.261373,2404:6800:4002:815::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,UDP,87
29,9.531738,64:ff9b::8c52:721a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,100
30,9.532109,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::8c52:721a,TLSv1.2,104
31,9.938908,64:ff9b::8c52:721a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,76
32,12.802732,192.168.150.136,192.168.150.153,DNS,80
33,12.802866,192.168.150.136,192.168.150.153,DNS,80
34,12.802959,192.168.150.136,192.168.150.153,DNS,80
35,12.892499,192.168.150.153,192.168.150.136,DNS,136
36,12.902172,192.168.150.153,192.168.150.136,DNS,124
37,12.902492,192.168.150.153,192.168.150.136,DNS,158
38,12.904939,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,1292
